id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15368927,Finished basement room and jacuzzi,64358573,Huiwen,,Brighton,42.353596886894984,-71.15721509255546,Private room,50,1,27,2018-08-13,11.41,1,282
15370440,Luxury 2 bed apartment in Back Bay !,630381,Anand,,Fenway,42.34410432949447,-71.08788953379978,Entire home/apt,150,2,33,2018-08-01,2.05,2,13
15370847,Bright and Cozy Back Bay 1bd,17295826,Jo,,Back Bay,42.35035892435615,-71.08227513413223,Entire home/apt,250,2,26,2018-08-04,1.24,1,1
15374913,Bright Modern Home - Near Airport,51812879,Audrey,,East Boston,42.37693617954413,-71.03382776949017,Entire home/apt,229,1,109,2017-08-27,4.86,1,0
15375825,Simple Studio in Downtown Crossing by Sonder,12243051,Sonder,,Downtown,42.355721465611644,-71.05922189882803,Entire home/apt,699,2,19,2018-05-28,0.85,292,132
15376003,Spacious 1BR w/Full Bath on Dorchester Heights,98244983,Kevin And Diane,,South Boston,42.33488267664001,-71.04500750730435,Private room,90,2,68,2018-08-11,3.17,1,123
15390344,Chic Studio in Downtown Crossing by Sonder,12243051,Sonder,,Downtown,42.354531661756624,-71.05976723095786,Entire home/apt,699,2,14,2018-06-16,0.63,292,123
15390808,Lively Studio in Downtown Crossing by Sonder,12243051,Sonder,,Downtown,42.35601856602864,-71.05938757155177,Entire home/apt,699,2,24,2018-07-29,1.08,292,123
15390860,Hip Studio in Downtown Crossing by Sonder,12243051,Sonder,,Downtown,42.355212179116485,-71.05954936529278,Entire home/apt,139,2,31,2018-05-27,1.40,292,94
15397125,Luxury 4BR | 2.5BA Back Bay Duplex,9410008,Jason,,Back Bay,42.3502373221541,-71.08895162250046,Entire home/apt,500,2,70,2018-08-09,3.14,19,304
15405175,Fully Renovated 1 bedroom near Airport,98610252,Kyle,,East Boston,42.38101403573829,-71.03064571432427,Entire home/apt,155,1,76,2018-08-10,3.46,1,1
15407065,Lovely 2BR in Downtown Crossing by Sonder,12243051,Sonder,,Downtown,42.35422328736321,-71.06003638134268,Entire home/apt,699,2,46,2018-07-25,2.06,292,117
15407347,Smart 1BR in Downtown Crossing by Sonder,12243051,Sonder,,Downtown,42.35601669290657,-71.05917283256102,Entire home/apt,699,2,51,2018-06-21,2.29,292,95
15407458,Brand New Space Atop Historic Beacon Hill!,44341268,Tony,,Beacon Hill,42.35908321300983,-71.06837472375467,Entire home/apt,225,3,74,2018-08-01,3.30,3,30
15407480,Classic Studio in Downtown Crossing by Sonder,12243051,Sonder,,Downtown,42.3557775984824,-71.05778313979945,Entire home/apt,699,2,37,2018-07-29,1.66,292,115
15407831,North End Charm Vacation Rental M114,32532791,Marie,,North End,42.366236550273506,-71.0558809130921,Entire home/apt,195,3,2,2018-05-16,0.15,29,167
15408774,Lively 1BR in Fenway by Sonder,12243051,Sonder,,Fenway,42.345570266153615,-71.10616104215755,Entire home/apt,699,2,13,2018-05-21,0.77,292,118
15409504,Vibrant 1BR in Fenway by Sonder,12243051,Sonder,,Fenway,42.346555419049174,-71.10667842747249,Entire home/apt,699,2,27,2018-07-17,1.21,292,122
15411537,"Cozy Private Room, Close Dudley Bus Station",98704343,Meica,,Roxbury,42.32625671356484,-71.07270958193926,Private room,70,2,34,2018-08-09,1.55,1,44
