listing_id,date
3781,2015-07-10
3781,2015-08-09
3781,2015-09-01
3781,2015-09-30
3781,2015-10-30
3781,2016-02-22
3781,2016-04-01
3781,2016-08-28
3781,2016-09-30
3781,2017-02-01
3781,2017-05-28
3781,2017-08-19
3781,2017-09-15
3781,2018-07-02
5506,2009-03-21
5506,2009-05-01
5506,2009-09-14
5506,2009-11-29
5506,2010-01-19
5506,2010-02-13
5506,2010-02-19
5506,2010-03-07
5506,2010-05-19
5506,2010-05-26
5506,2010-09-26
5506,2010-10-05
5506,2010-11-10
5506,2010-11-22
5506,2011-02-22
5506,2011-03-31
5506,2011-04-26
5506,2011-08-06
5506,2011-08-26
5506,2011-09-30
5506,2011-10-13
5506,2011-10-16
5506,2011-10-23
5506,2011-11-13
5506,2012-01-23
5506,2012-02-27
5506,2012-05-25
5506,2014-04-13
5506,2014-09-06
5506,2014-09-10
5506,2015-05-16
5506,2015-06-15
5506,2015-11-17
5506,2016-02-05
5506,2016-04-01
5506,2016-06-08
5506,2016-09-07
5506,2016-11-20
5506,2017-05-14
5506,2017-05-17
5506,2017-06-16
5506,2017-07-14
5506,2017-07-25
5506,2017-08-06
5506,2017-08-17
5506,2017-08-27
5506,2017-09-15
5506,2017-11-14
5506,2017-11-22
5506,2017-12-11
5506,2018-01-02
5506,2018-01-30
5506,2018-03-13
5506,2018-03-21
5506,2018-03-26
5506,2018-03-29
5506,2018-04-01
5506,2018-04-07
5506,2018-04-26
5506,2018-05-30
5506,2018-06-04
5506,2018-06-11
5506,2018-06-27
5506,2018-06-30
5506,2018-07-05
5506,2018-07-19
5506,2018-07-27
5506,2018-08-01
6695,2009-08-06
6695,2009-08-23
6695,2009-09-19
6695,2009-12-29
6695,2010-02-15
6695,2010-05-05
6695,2010-05-14
6695,2010-05-29
6695,2011-06-06
6695,2011-06-18
6695,2011-11-01
6695,2011-11-22
6695,2012-01-09
6695,2012-03-17
6695,2012-03-26
6695,2012-06-21
6695,2012-07-01
6695,2012-10-10
6695,2012-10-16
6695,2013-05-02
6695,2013-05-06
6695,2013-06-26
6695,2013-08-23
6695,2013-08-31
6695,2013-09-14
6695,2013-10-31
6695,2013-12-07
6695,2014-01-02
6695,2014-01-27
6695,2014-04-05
6695,2014-05-05
6695,2014-05-26
6695,2014-06-09
6695,2014-07-13
6695,2014-08-06
6695,2014-08-12
6695,2014-09-02
6695,2014-09-07
6695,2014-09-15
6695,2014-10-15
6695,2014-10-25
6695,2015-03-17
6695,2015-10-24
6695,2016-01-01
6695,2016-03-01
6695,2016-04-24
6695,2016-05-26
6695,2016-11-08
6695,2016-11-13
6695,2016-11-26
6695,2016-12-02
6695,2016-12-30
6695,2017-04-03
6695,2017-04-09
6695,2017-04-29
6695,2017-05-22
6695,2017-08-29
6695,2017-09-27
6695,2017-10-07
6695,2017-10-28
6695,2017-11-20
6695,2017-12-10
6695,2017-12-19
6695,2017-12-27
6695,2017-12-30
6695,2018-01-03
6695,2018-04-17
6695,2018-04-24
6695,2018-04-29
6695,2018-06-01
6695,2018-07-25
6695,2018-08-14
6976,2009-07-19
6976,2010-07-23
6976,2011-05-23
6976,2011-06-28
6976,2011-07-24
6976,2011-10-24
6976,2011-11-01
6976,2012-05-30
6976,2012-06-29
6976,2012-08-19
6976,2012-10-06
6976,2012-10-10
6976,2013-02-03
6976,2013-03-25
6976,2013-08-02
6976,2013-09-30
6976,2013-10-09
6976,2013-10-15
6976,2013-10-22
6976,2014-04-22
6976,2014-05-15
6976,2014-05-19
6976,2014-08-14
6976,2014-08-17
6976,2014-08-28
6976,2014-08-29
6976,2014-11-01
6976,2015-04-20
6976,2015-05-14
6976,2015-05-29
6976,2015-06-13
6976,2015-06-18
6976,2015-09-26
6976,2015-10-14
6976,2016-04-26
6976,2016-05-10
6976,2016-05-28
6976,2016-06-18
6976,2016-07-02
6976,2016-07-17
6976,2016-08-05
6976,2016-09-02
6976,2016-09-26
6976,2016-10-15
6976,2016-11-20
6976,2017-04-06
6976,2017-05-07
6976,2017-05-28
6976,2017-07-04
6976,2017-07-15
6976,2017-07-22
6976,2017-07-25
6976,2017-07-27
6976,2017-07-30
6976,2017-08-10
6976,2017-08-21
6976,2017-08-31
6976,2017-09-08
6976,2017-10-07
6976,2017-10-23
6976,2018-02-16
6976,2018-04-18
6976,2018-05-20
6976,2018-06-15
6976,2018-06-26
6976,2018-07-15
6976,2018-07-19
6976,2018-07-31
8789,2014-08-12
8789,2014-09-19
8789,2014-10-12
8789,2014-10-22
8789,2014-12-23
8789,2015-01-26
8789,2015-04-24
8789,2015-05-29
8789,2015-08-20
8789,2015-08-25
8789,2015-12-01
8789,2016-02-06
8789,2016-04-07
8789,2016-04-23
8789,2018-03-31
8789,2018-06-24
8792,2009-10-11
8792,2009-10-21
8792,2009-10-31
8792,2009-11-02
8792,2009-12-24
8792,2010-01-02
8792,2013-09-17
8792,2013-09-27
8792,2014-03-02
8792,2014-05-30
8792,2014-08-09
8792,2015-02-24
8792,2015-04-02
8792,2015-04-13
8792,2015-04-21
8792,2015-05-14
8792,2015-05-24
8792,2015-08-17
8792,2016-09-08
8792,2017-05-01
8792,2017-08-10
8792,2018-04-06
8792,2018-07-23
8865,2009-08-20
8865,2009-08-21
8865,2009-08-25
8865,2009-08-26
8865,2010-08-02
8865,2010-08-19
8865,2014-04-14
8865,2014-04-23
8865,2015-07-19
8865,2015-07-20
8865,2015-07-25
8865,2015-07-27
8865,2018-08-04
9273,2010-10-07
9273,2011-06-05
9273,2011-06-28
9273,2011-08-12
9273,2012-05-02
9273,2014-04-06
9273,2014-05-05
9273,2014-06-02
9273,2015-07-14
9273,2015-08-22
9273,2015-09-11
9273,2016-06-30
9273,2016-08-12
9273,2016-10-23
10758,2014-10-22
10758,2015-10-03
10807,2014-10-13
10809,2014-04-24
10809,2014-11-04
10809,2014-11-23
10809,2015-04-01
10809,2015-08-18
10809,2015-09-07
10809,2015-09-16
10809,2015-09-29
10809,2016-02-28
10809,2016-03-25
10809,2016-05-26
10809,2016-06-05
10809,2016-08-10
10809,2016-08-15
10811,2016-01-09
10811,2016-04-05
10811,2016-06-01
10811,2016-11-21
10811,2017-03-20
10811,2017-04-08
10813,2016-05-23
10986,2016-05-23
10986,2016-05-23
12356,2014-11-30
12356,2014-12-07
12356,2015-10-15
12356,2015-12-28
12356,2016-06-04
12356,2016-06-13
12356,2016-06-22
12356,2016-08-06
12356,2016-08-13
12441,2010-05-17
12441,2011-05-17
12441,2011-08-29
12441,2012-05-13
12441,2012-06-22
12441,2012-09-22
12441,2012-10-08
12441,2013-08-13
12441,2013-10-27
12441,2014-01-20
12441,2014-02-17
12441,2014-07-17
12441,2014-08-31
12441,2014-12-07
12441,2015-03-23
12441,2015-09-18
12441,2015-10-25
12441,2015-11-13
12441,2015-12-01
12441,2016-01-30
12441,2016-02-07
12441,2016-02-16
12441,2016-03-08
12441,2016-03-13
12441,2016-06-06
12441,2016-06-17
12441,2016-07-11
12441,2016-07-16
12441,2016-08-18
12441,2016-09-16
12441,2016-09-22
12441,2016-10-28
12441,2016-11-11
12441,2016-12-09
12441,2016-12-18
12441,2017-02-04
12441,2017-02-24
12441,2017-06-12
12441,2017-08-27
12441,2018-01-22
12441,2018-06-08
13589,2010-04-26
13589,2010-11-29
13589,2010-12-20
13589,2011-10-03
13589,2011-10-26
13589,2011-11-21
13589,2011-12-06
13589,2012-11-08
13589,2012-12-11
13589,2012-12-23
13589,2013-01-21
13589,2013-01-28
13589,2013-02-13
13589,2013-03-31
13589,2013-05-01
13589,2013-08-30
13589,2013-12-12
13589,2014-02-14
13589,2014-03-10
13589,2014-05-31
13589,2014-09-19
13589,2014-11-12
13589,2014-11-19
13589,2014-12-15
13589,2015-02-05
13589,2015-03-11
13589,2015-05-11
13589,2015-05-31
13589,2015-06-29
13589,2015-07-31
13589,2015-08-07
13589,2015-08-12
13589,2015-09-03
13589,2015-09-08
13589,2015-09-18
13589,2015-09-28
13589,2015-10-09
13589,2015-10-24
13589,2015-10-25
13589,2015-11-08
13589,2015-12-01
13589,2015-12-06
13589,2015-12-13
13589,2016-05-08
13589,2016-05-22
13589,2016-05-26
13589,2016-06-04
13589,2016-07-03
13589,2016-07-21
13589,2016-08-07
13589,2016-08-10
13589,2016-08-26
13589,2016-09-15
13589,2016-10-23
13589,2016-11-21
13589,2016-12-05
13589,2016-12-30
13589,2017-01-02
13589,2017-05-14
13589,2017-09-16
13589,2017-09-30
18711,2010-05-12
18711,2010-06-01
18711,2010-07-29
18711,2010-10-14
18711,2011-06-05
18711,2011-06-22
18711,2011-08-26
18711,2011-10-24
18711,2012-06-30
18711,2012-07-12
18711,2012-08-09
18711,2012-10-18
18711,2014-04-06
18711,2014-06-13
18711,2015-01-06
18711,2015-03-05
18711,2015-05-19
18711,2017-04-09
18711,2017-05-07
18711,2017-05-14
18711,2017-06-07
18711,2017-06-18
18711,2017-07-21
18711,2017-08-10
18711,2017-09-04
18711,2017-10-02
18711,2017-10-09
18711,2017-10-16
18711,2017-11-01
18711,2017-11-25
18711,2017-12-03
18711,2017-12-26
18711,2018-03-14
18711,2018-03-27
18711,2018-05-09
18711,2018-06-08
18711,2018-06-26
18711,2018-07-15
18711,2018-08-02
22354,2011-08-02
22354,2011-08-08
22354,2011-08-19
22354,2011-09-05
22354,2011-09-25
22354,2011-10-10
22354,2011-10-16
22354,2011-10-18
22354,2011-10-24
22354,2011-10-25
22354,2011-10-30
22354,2011-11-01
22354,2011-11-07
22354,2011-11-14
22354,2012-03-13
22354,2012-03-18
22354,2012-03-23
22354,2012-04-08
22354,2012-04-14
22354,2012-04-16
22354,2012-04-21
22354,2012-04-23
22354,2012-05-22
22354,2012-06-13
22354,2012-06-29
22354,2012-07-02
22354,2012-07-10
22354,2012-07-23
22354,2012-07-28
22354,2012-07-29
22354,2012-08-12
22354,2012-08-20
22354,2012-09-14
22354,2012-10-22
22354,2013-01-07
22354,2013-04-01
22354,2013-04-16
22354,2013-05-06
22354,2013-05-11
22354,2013-05-13
22354,2013-05-27
22354,2013-06-06
22354,2013-06-08
22354,2013-06-28
22354,2013-06-29
22354,2013-07-15
22354,2013-07-21
22354,2013-07-22
22354,2013-07-23
22354,2013-07-24
22354,2013-08-01
22354,2013-08-20
22354,2013-08-23
22354,2013-08-26
22354,2013-09-19
22354,2013-09-20
22354,2013-09-24
22354,2013-09-26
22354,2013-09-27
22354,2013-10-04
22354,2013-10-10
22354,2013-10-17
22354,2013-10-25
22354,2013-10-31
22354,2013-11-03
22354,2013-11-11
22354,2013-11-19
22354,2013-11-25
22354,2013-12-08
22354,2013-12-14
22354,2013-12-23
22354,2013-12-28
22354,2014-01-02
22354,2014-01-20
22354,2014-02-24
22354,2014-03-09
22354,2014-03-11
22354,2014-04-03
22354,2014-04-10
22354,2014-04-23
22354,2014-04-24
22354,2014-04-27
22354,2014-04-29
22354,2014-04-30
22354,2014-05-16
22354,2014-05-19
22354,2014-05-22
22354,2014-05-23
22354,2014-05-26
22354,2014-05-29
22354,2014-05-31
22354,2014-06-03
22354,2014-06-06
22354,2014-06-12
22354,2014-06-13
22354,2014-06-14
22354,2014-06-16
22354,2014-06-19
22354,2014-06-25
22354,2014-06-29
22354,2014-06-30
22354,2014-07-05
22354,2014-07-06
22354,2014-07-11
22354,2014-07-18
22354,2014-07-20
22354,2014-07-22
22354,2014-07-22
22354,2014-07-24
22354,2014-07-26
22354,2014-08-02
22354,2014-08-05
22354,2014-08-07
22354,2014-08-10
22354,2014-08-11
22354,2014-08-13
22354,2014-08-21
22354,2014-08-23
22354,2014-08-28
22354,2014-09-02
22354,2014-09-14
22354,2014-09-16
22354,2014-09-20
22354,2014-09-21
22354,2014-09-22
22354,2014-09-29
22354,2014-10-01
22354,2014-10-10
22354,2014-10-11
22354,2014-10-12
22354,2014-10-14
22354,2014-10-20
22354,2014-10-22
22354,2014-10-24
22354,2014-10-27
22354,2014-10-28
22354,2014-10-31
22354,2014-11-03
22354,2014-11-05
22354,2014-11-07
22354,2014-11-10
22354,2014-11-12
22354,2014-11-13
22354,2014-11-15
22354,2014-11-29
22354,2014-12-23
22354,2015-01-03
22354,2015-01-07
22354,2015-02-15
22354,2015-03-12
22354,2015-04-02
22354,2015-04-08
22354,2015-04-13
22354,2015-04-22
22354,2015-04-28
22354,2015-05-03
22354,2015-05-05
22354,2015-05-10
22354,2015-05-18
22354,2015-05-30
22354,2015-06-05
22354,2015-06-14
22354,2015-06-17
22354,2015-06-26
22354,2015-06-27
22354,2015-06-29
22354,2015-07-12
22354,2015-07-18
22354,2015-07-20
22354,2015-07-27
22354,2015-07-30
22354,2015-08-03
22354,2015-08-08
22354,2015-08-10
22354,2015-08-16
22354,2015-08-18
22354,2015-08-24
22354,2015-08-30
22354,2015-09-04
22354,2015-09-08
22354,2015-09-13
22354,2015-09-16
22354,2015-09-23
22354,2015-09-25
22354,2015-09-28
22354,2015-10-01
22354,2015-10-03
22354,2015-10-05
22354,2015-10-07
22354,2015-10-18
22354,2015-10-22
22354,2015-10-24
22354,2015-10-26
22354,2015-10-28
22354,2015-10-29
22354,2015-11-02
22354,2015-11-14
22354,2015-12-20
22354,2016-03-19
22354,2016-04-16
22354,2016-05-01
22354,2016-05-08
22354,2016-05-10
22354,2016-05-12
22354,2016-05-16
22354,2016-06-03
22354,2016-06-06
22354,2016-06-08
22354,2016-06-22
22354,2016-07-15
22354,2016-07-28
22354,2016-08-04
22354,2016-08-07
22354,2016-08-10
22354,2016-08-10
22354,2016-09-04
22354,2016-09-18
22354,2016-09-18
22354,2016-09-23
22354,2016-09-29
22354,2016-10-06
22354,2016-10-08
22354,2016-10-10
22354,2016-10-13
22354,2016-10-15
22354,2016-10-18
22354,2016-10-24
22354,2016-10-26
22354,2016-11-06
22354,2016-11-11
22354,2016-11-12
22354,2016-11-13
22354,2016-11-15
22354,2016-12-16
22354,2017-03-13
22354,2017-04-25
22354,2017-04-27
22354,2017-05-10
22354,2017-05-25
22354,2017-05-28
22354,2017-06-04
22354,2017-06-11
22354,2017-06-16
22354,2017-06-28
22354,2017-07-14
22354,2017-07-22
22354,2017-07-30
22354,2017-08-20
22354,2017-09-01
22354,2017-09-04
22354,2017-09-26
22354,2017-10-04
22354,2017-10-08
22354,2017-10-11
22354,2017-10-14
22354,2017-10-17
22354,2017-11-02
22354,2017-11-17
22354,2017-11-30
22354,2017-12-10
22354,2017-12-22
22354,2018-01-02
22354,2018-02-19
22354,2018-03-04
22354,2018-03-11
22354,2018-03-13
22354,2018-03-17
22354,2018-04-07
22354,2018-04-08
22354,2018-04-17
22354,2018-04-21
22354,2018-05-04
22354,2018-05-14
22354,2018-05-27
